SRR_ID,Organ,Notes
SRR3884678,Fruits_peduncle,fruit attachment
SRR3884631,Fruits_6cm,fruit enlargement
SRR3884608,Fruits_1cm,early fruit development
SRR3884679,Pistils,female reproductive parts
SRR3884597,Flowers,anthesis [MAIN INTEREST]
SRR3884687,Opened_Buds,flower development [MAIN INTEREST]
SRR3884686,Buds_0.7cm,flower bud initiation [MAIN INTEREST
SRR3884689,Leaves,vegetative growth
SRR3884690,Stems,vegetative growth
SRR3884675,Roots,root development
SRR3884677,Cotyledons,seed leaves
SRR3884685,Radicles,earliest - germination
