Gene_ID,Name
SMEL4.1_00g000100.1.01,Similar to At1g47790 Putative F-box protein At1g47790 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g000110.1.01,Similar to PCMP-E16 Pentatricopeptide repeat-containing protein At5g39350 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g000120.1.01,"Similar to BAG1 BAG family molecular chaperone regulator 8, chloroplastic (Arabidopsis thaliana OX=3702)"
SMEL4.1_00g000130.1.01,Similar to RBP45B Polyadenylate-binding protein RBP45B (Arabidopsis thaliana OX=3702)
SMEL4.1_00g000140.1.01,Similar to At3g28850 Uncharacterized protein At3g28850 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g000150.1.01,Similar to HAT7 Homeobox-leucine zipper protein HAT7 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g000160.1.01,Similar to LAT59 Probable pectate lyase P59 (Solanum lycopersicum OX=4081)
SMEL4.1_00g000170.1.01,Similar to DDI1 Protein DNA-DAMAGE INDUCIBLE 1 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g000180.1.01,"Similar to OsI_21320 Ferredoxin--NADP reductase, leaf isozyme 1, chloroplastic (Oryza sativa subsp. indica OX=39946)"
SMEL4.1_00g000190.1.01,"Similar to At1g12700 Putative pentatricopeptide repeat-containing protein At1g12700, mitochondrial (Arabidopsis thaliana OX=3702)"
SMEL4.1_00g000200.1.01,Protein of unknown function
SMEL4.1_00g000210.1.01,Protein of unknown function
SMEL4.1_00g000220.1.01,Similar to NTR2 Thioredoxin reductase 2 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g000230.1.01,Similar to AHL15 AT-hook motif nuclear-localized protein 15 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g000240.1.01,Protein of unknown function
SMEL4.1_00g000250.1.01,Similar to CAP1 Cyclase-associated protein 1 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g000260.1.01,Similar to GLP2A Germin-like protein subfamily 1 member 18 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g000270.1.01,Protein of unknown function
SMEL4.1_00g000280.1.01,Protein of unknown function
SMEL4.1_00g000290.1.01,Similar to ARP1 Probable RNA-binding protein ARP1 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g000300.1.01,Protein of unknown function
SMEL4.1_00g000310.1.01,Protein of unknown function
SMEL4.1_00g000320.1.01,Protein of unknown function
SMEL4.1_00g000330.1.01,Similar to SMH1 Single myb histone 1 (Zea mays OX=4577)
SMEL4.1_00g000340.1.01,Similar to MIK2 MDIS1-interacting receptor like kinase 2 (Arabidopsis thaliana OX=3702)
SMEL4.1_00g000350.1.01,"Similar to ndhF NAD(P)H-quinone oxidoreductase subunit 5, chloroplastic (Fragment) (Capsicum baccatum OX=33114)"
SMEL4.1_00g000360.1.01,Similar to DDB1 DNA damage-binding protein 1 (Solanum lycopersicum OX=4081)
SMEL4.1_00g000370.1.01,Similar to TUBB2 Tubulin beta-2 chain (Eleusine indica OX=29674)
SMEL4.1_00g000380.1.01,Similar to At2g40290 Eukaryotic translation initiation factor 2 subunit alpha homolog (Arabidopsis thaliana OX=3702)
SMEL4.1_00g000390.1.01,Protein of unknown function
