Gene_ID,Shortened_Name
SMEL4.1_06g013870.1,Smel_KNOLLE
SMEL4.1_03g012840.1,CYCD1-1_SMEL4.1_03g012840.1.01
SMEL4.1_04g018910.1,SmelCYCD1-1_SMEL4.1_04g018910.1.01
SMEL4.1_07g016000.1,SMEL4.1_07g016000.1.01
SMEL4.1_00g007140.1,SMEL4.1_00g007140.1.01
SMEL4.1_01g006590.1,SMEL4.1_01g006590.1.01
SMEL4.1_11g003300.1,SMEL4.1_11g003300.1.01
SMEL4.1_02g025660.1,SMEL4.1_02g025660.1.01
SMEL4.1_02g017400.1,SMEL4.1_02g017400.1.01
SMEL4.1_02g008940.1,SMEL4.1_02g008940.1.01
SMEL4.1_02g008580.1,SMEL4.1_02g008580.1.01
SMEL4.1_03g012780.1,SMEL4.1_03g012780.1.01
SMEL4.1_03g002290.1,SMEL4.1_03g002290.1.01
SMEL4.1_04g017090.1,SMEL4.1_04g017090.1.01
SMEL4.1_04g017100.1,SMEL4.1_04g017100.1.01
SMEL4.1_04g018890.1,SMEL4.1_04g018890.1.01
SMEL4.1_04g018900.1,SMEL4.1_04g018900.1.01
SMEL4.1_04g019490.1,SMEL4.1_04g019490.1.01
SMEL4.1_05g002360.1,SMEL4.1_05g002360.1.01
SMEL4.1_05g017570.1,SMEL4.1_05g017570.1.01
SMEL4.1_05g018490.1,SMEL4.1_05g018490.1.01
SMEL4.1_07g017850.1,SMEL4.1_07g017850.1.01
SMEL4.1_09g004680.1,SMEL4.1_09g004680.1.01
SMEL4.1_00g003420.1,SMEL4.1_00g003420.1.01
SMEL4.1_11g021380.1,SMEL4.1_11g021380.1.01
SMEL4.1_03g022520.1,SMEL4.1_03g022520.1.01
SMEL4.1_03g012370.1,SMEL4.1_03g012370.1.01
SMEL4.1_03g007220.1,SMEL4.1_03g007220.1.01
SMEL4.1_04g000460.1,SMEL4.1_04g000460.1.01
SMEL4.1_04g022710.1,SMEL4.1_04g022710.1.01
SMEL4.1_05g019380.1,SMEL4.1_05g019380.1.01
SMEL4.1_06g023590.1,SMEL4.1_06g023590.1.01
