Gene_ID,Shortened_Name
SMEL5_06g022750.1,Smel18s_rRNA06.750
SMEL5_01g007100.1,SmelEC1_01.100
SMEL5_01g007110.1,SmelEC1_01.110
SMEL5_04g013110.1,SmelEC1_04.110
SMEL5_06g009300.1,SmelEC1_06.300
SMEL5_07g001010.1,SmelEC1_07.010
SMEL5_07g003400.1,SmelEC1_07.400
SMEL5_07g020130.1,SmelEC1_07.130
SMEL5_07g021510.1,SmelEC1_07.510
SMEL5_10g015170.1,SmelEC1_10.170
SMEL5_10g018160.1,SmelEC1_10.160
SMEL5_10g018250.1,SmelEC1_10.250
SMEL5_10g018560.1,SmelEC1_10.560
SMEL5_10g019220.1,SmelEC1_10.220
SMEL5_11g008680.1,SmelEC1_11.680
SMEL5_11g008730.1,SmelEC1_11.730
SMEL5_11g013580.1,SmelEC1_11.580
SMEL5_11g017010.1,SmelEC1_11.010
SMEL5_11g022110.1,SmelEC1_11.110
SMEL5_12g003130.1,SmelEC1_12.130
SMEL5_12g013810.1,SmelEC1_12.810
