Gene_ID,Shortened_Name
SMEL5_06g022750.1,Smel18s_rRNA06.750
SMEL5_01g007950.1,SmelPLA5_01.950
SMEL5_02g005070.1,SmelPLA5_02.070
SMEL5_02g005080.1,SmelPLA5_02.080
SMEL5_02g015770.1,SmelPLA5_02.770
SMEL5_02g024500.1,SmelPLA5_02.500
SMEL5_02g024510.1,SmelPLA5_02.510
SMEL5_02g024520.1,SmelPLA5_02.520
SMEL5_02g024640.1,SmelPLA5_02.640
SMEL5_03g005700.1,SmelPLA5_03.700
SMEL5_04g019460.1,SmelPLA5_04.460
SMEL5_04g019470.1,SmelPLA5_04.470
SMEL5_04g019480.1,SmelPLA5_04.480
SMEL5_04g019490.1,SmelPLA5_04.490
SMEL5_04g019500.1,SmelPLA5_04.500
SMEL5_04g019510.1,SmelPLA5_04.510
SMEL5_04g019540.1,SmelPLA5_04.540
SMEL5_04g019560.1,SmelPLA5_04.560
SMEL5_04g019590.1,SmelPLA5_04.590
SMEL5_05g007880.1,SmelPLA5_05.880
SMEL5_06g029690.1,SmelPLA5_06.690
SMEL5_08g004710.1,SmelPLA5_08.710
SMEL5_08g004720.1,SmelPLA5_08.720
SMEL5_08g004740.1,SmelPLA5_08.740
SMEL5_08g004750.1,SmelPLA5_08.750
SMEL5_09g013010.1,SmelPLA5_09.010
SMEL5_10g024660.1,SmelPLA5_10.660
SMEL5_10g025530.1,SmelPLA5_10.530
SMEL5_10g025890.1,SmelPLA5_10.890
