Gene_ID,Shortened_Name
SMEL4.1_06g023900.1,Smel18s_rRNA06.900
SMEL4.1_01g017230.1,SmelGRF01
SMEL4.1_02g024810.1,SmelGRF02
SMEL4.1_03g019250.1,SmelGRF03
SMEL4.1_04g018560.1,SmelGRF04
SMEL4.1_05g020970.1,SmelGRF05
SMEL4.1_07g012460.1,SmelGRF07
SMEL4.1_08g000890.1,SmelGRF08.890
SMEL4.1_08g019140.1,SmelGRF08.140
SMEL4.1_08g020800.1,SmelGRF08.800
SMEL4.1_09g001160.1,SmelGRF09
SMEL4.1_10g022710.1,SmelGRF10
SMEL4.1_03g019210.1,SmelGIF03
SMEL4.1_04g000820.1,SmelGIF04
SMEL4.1_11g004650.1,SmelGIF11.650
SMEL4.1_11g026070.1,SmelGIF11.070
SMEL4.1_11g026790.1,SmelGIF11.790
