Gene_ID,Shortened_Name
SMEL4.1_01g000730.1,SMEL4.1_01g000730.1.01
SMEL4.1_01g024990.1,SMEL4.1_01g024990.1.01
SMEL4.1_02g015810.1,SMEL4.1_02g015810.1.01
SMEL4.1_04g004560.1,SMEL4.1_04g004560.1.01
SMEL4.1_10g015200.1,SMEL4.1_10g015200.1.01
SMEL4.1_10g003560.1,SMEL4.1_10g003560.1.01
SMEL4.1_10g003550.1,SMEL4.1_10g003550.1.01
SMEL4.1_12g004810.1,SMEL4.1_12g004810.1.01
SMEL4.1_01g034300.1,SMEL4.1_01g034300.1.01
SMEL4.1_01g017230.1,SMEL4.1_01g017230.1.01
SMEL4.1_10g022710.1,SMEL4.1_10g022710.1.01
SMEL4.1_10g015940.1,SMEL4.1_10g015940.1.01
SMEL4.1_02g024810.1,SMEL4.1_02g024810.1.01
SMEL4.1_03g019250.1,SMEL4.1_03g019250.1.01
SMEL4.1_04g018560.1,SMEL4.1_04g018560.1.01
SMEL4.1_05g020970.1,SMEL4.1_05g020970.1.01
SMEL4.1_07g012460.1,SMEL4.1_07g012460.1.01
SMEL4.1_08g020800.1,SMEL4.1_08g020800.1.01
SMEL4.1_08g019140.1,SMEL4.1_08g019140.1.01
SMEL4.1_08g000890.1,SMEL4.1_08g000890.1.01
SMEL4.1_09g001160.1,SMEL4.1_09g001160.1.01
SMEL4.1_11g026790.1,SMEL4.1_11g026790.1.01
SMEL4.1_11g026070.1,SMEL4.1_11g026070.1.01
SMEL4.1_11g004650.1,SMEL4.1_11g004650.1.01
SMEL4.1_03g019210.1,SMEL4.1_03g019210.1.01
SMEL4.1_04g000820.1,SMEL4.1_04g000820.1.01
SMEL4.1_06g023900.1,SMEL4.1_06g023900.1.01
SMEL4.1_04g018950.1,SMEL4.1_04g018950.1.01
SMEL4.1_01g003610.1,SMEL4.1_01g003610.1.01
SMEL4.1_12g003580.1,SMEL4.1_12g003580.1.01
SMEL4.1_02g006850.1,SMEL4.1_02g006850.1.01
SMEL4.1_05g003950.1,SMEL4.1_05g003950.1.01
SMEL4.1_06g013870.1,SMEL4.1_06g013870.1.01
SMEL4.1_03g012840.1,SMEL4.1_03g012840.1.01
SMEL4.1_01g039630.1,SMEL4.1_01g039630.1.01
SMEL4.1_03g023090.1,SMEL4.1_03g023090.1.01
SMEL4.1_02g027010.1,SMEL4.1_02g027010.1.01
SMEL4.1_03g007220.1,SMEL4.1_03g007220.1.01
SMEL4.1_08g000280.1,SMEL4.1_08g000280.1.01
SMEL4.1_08g026480.1,SMEL4.1_08g026480.1.01
SMEL4.1_05g016360.1,SMEL4.1_05g016360.1.01
SMEL4.1_11g006060.1,SMEL4.1_11g006060.1.01
SMEL4.1_06g027910.1,SMEL4.1_06g027910.1.01
SMEL4.1_03g016960.1,SMEL4.1_03g016960.1.01
SMEL4.1_06g011160.1,SMEL4.1_06g011160.1.01
SMEL4.1_06g005770.1,SMEL4.1_06g005770.1.01
