# Sample conditions for HeatSeq pipeline
# Format: SRR_ID <TAB> condition <TAB> batch
# Batch assignments: 1=PRJNA328564, 2=PRJNA865018, 3=PRJNA941250, 4=SAMN28540077, 5=SAMN28540068
# --------------------------------------------------------------------------------------
SRR_ID	condition	batch

# --- PRJNA328564 (Eggplant developmental atlas, batch 1) ---
SRR3884686	Buds_0.7cm	1
SRR3884687	Opened_Buds	1
SRR3884597	Flowers	1
SRR3884679	Pistils	1
SRR3884608	Fruits_1cm	1
SRR3884620	Fruits_Stage1	1
SRR3884631	Fruits_6cm	1
SRR3884642	Fruits_Skin_Stage2	1
SRR3884653	Fruits_Flesh_Stage2	1
SRR3884664	Fruits_Calyx_Stage2	1
SRR3884680	Fruits_Skin_Stage3	1
SRR3884681	Fruits_Flesh_Stage3	1
SRR3884678	Fruits_peduncle	1
SRR3884689	Leaves	1
SRR3884690	Stems	1
SRR3884675	Roots	1
SRR3884677	Cotyledons	1
SRR3884685	Radicles	1
SRR3884684	Senescent_leaves	1

# --- PRJNA865018 (SmelDMP GEA Set 1, batch 2) ---
SRR21010466	Buds	2
SRR21010456	Buds	2
SRR21010454	Buds	2
SRR21010462	Flowers	2
SRR21010460	Flowers	2
SRR21010458	Flowers	2
SRR21010452	Fruits	2
SRR21010450	Fruits	2
SRR21010464	Fruits	2

# --- PRJNA941250 (SmelDMP GEA Set 2, batch 3) ---
SRR23909869	8DBF	3
SRR23909870	8DBF	3
SRR23909871	8DBF	3
SRR23909866	5DBF	3
SRR23909867	5DBF	3
SRR23909868	5DBF	3
SRR23909863	FD	3
SRR23909864	FD	3
SRR23909865	FD	3

# --- SAMN28540077 (Chinese dataset, batch 4) ---
SRR20722232	Mature_fruits	4
SRR20722226	Young_fruits	4
SRR20722234	Flowers	4
SRR20722228	Sepals	4
SRR20722233	Leaf_buds	4
SRR20722230	Mature_leaves	4
SRR20722227	Stems	4
SRR20722229	Roots	4

# --- SAMN28540068 (Chinese dataset 2, batch 5) ---
SRR20722387	Mature_fruits	5
SRR20722297	Flower_buds	5
SRR20722385	Sepals	5
SRR20722296	Leaf_buds	5
SRR20722386	Mature_leaves	5
SRR20722383	Young_leaves	5
SRR20722384	Stems	5
SRR31755282	Roots	5

# --- Other/standalone samples ---
SRR34564302	Fruits	6
SRR34848077	Leaves	6
SRR3479277	Pistils	6
