Gene_ID,Shortened_Name
SMEL4.1_06g023880.1,Smel_RID2_18s_SMEL4.1_06g023880.1.01
SMEL4.1_06g023900.1,Smel_RID2_18s_SMEL4.1_06g023900.1.01
SMEL4.1_08g010050.1,PutSmel_s18s_SMEL4.1_08g010050.1.01
SMEL4.1_08g010430.1,PutSmel_s18s_SMEL4.1_08g010430.1.01
SMEL4.1_08g009950.1,PutSmel_s18s_SMEL4.1_08g009950.1.01
SMEL4.1_08g010260.1,PutSmel_s18s_SMEL4.1_08g010260.1.01
SMEL4.1_00g002580.1,PutSmel_s18s_SMEL4.1_00g002580.1.01
SMEL4.1_00g008930.1,PutSmel_s18s_SMEL4.1_00g008930.1.01
SMEL4.1_08g010480.1,PutSmel_b18s_SMEL4.1_08g010480.1.01_Stub_18s
SMEL4.1_08g010030.1,PutSmel_b18s_SMEL4.1_08g010030.1.01_Stub_18s
SMEL4.1_00g003690.1,PutSmel_b18s_SMEL4.1_00g003690.1.01_Stub_18s
SMEL4.1_08g010380.1,PutSmel_b18s_SMEL4.1_08g010380.1_Stub_18s_X67238.1.01
SMEL4.1_02g006850.1,Smel_RUBP_SMEL4.1_02g006850.1.01
SMEL4.1_02g022960.1,Smel_RUBP_SMEL4.1_02g022960.1.01
SMEL4.1_02g022980.1,Smel_RUBP_SMEL4.1_02g022980.1.01
SMEL4.1_02g022990.1,Smel_RUBP_MEL4.1_02g022990.1.01
SMEL4.1_01g003610.1,SMEL4.1_01g003610.1.01
SMEL4.1_12g003580.1,SMEL4.1_12g003580.1.01
