Gene_ID,Shortened_Name
SMEL4.1_01g034300.1,SmelGRF_01.300
SMEL4.1_01g017230.1,SmelGRF_01.230
SMEL4.1_10g022710.1,SmelGRF_10.710
SMEL4.1_10g015940.1,SmelGRF_10.940
SMEL4.1_02g024810.1,SmelGRF_02
SMEL4.1_03g019250.1,SmelGRF_03
SMEL4.1_04g018560.1,SmelGRF_04
SMEL4.1_05g020970.1,SmelGRF_05
SMEL4.1_07g012460.1,SmelGRF_07
SMEL4.1_08g020800.1,SmelGRF_08.800
SMEL4.1_08g019140.1,SmelGRF_08.140
SMEL4.1_08g000890.1,SmelGRF_08.890
SMEL4.1_09g001160.1,SmelGRF_09.160
SMEL4.1_11g026790.1,SmelGIF_11.790
SMEL4.1_11g026070.1,SmelGIF_11.070
SMEL4.1_11g004650.1,SmelGIF_11.650
SMEL4.1_03g019210.1,SmelGIF_03
SMEL4.1_04g000820.1,SmelGIF_04
SMEL4.1_01g003610.1,SmelCyclo01
